Reference_Year,LGA,WRRG,landFill,recyclingTotal,recyclingProcessed,gardenTotal,gardenProcessed,wasteTotal,wasteProcessed,Estimated_Adult_Population
2009-2010,Whitehorse,Metropolitan ,30799,19281,17507.9199,8388,8388,58468,25895.9199,122657
2009-2010,Whittlesea,Metropolitan ,32583.4004,15606.7998,14049.7998,8000,8000,56190.2002,22049.7998,116171
2009-2010,Wodonga,North East ,6752,3770.1001,3295.3999,1806,1806,12328.1001,5101.3999,27493
2009-2010,Wyndham,Metropolitan ,30381,15532.7998,14353,1806,1806,47719.7998,16159,111268
2009-2010,Yarra,Metropolitan ,13623,10271,9821,197.3,197.3,24091.3,10018.3,67766
2009-2010,Yarra Ranges,Metropolitan ,27297.5996,17620.9902,15593.7695,6301,6301,51219.5898,21894.7695,111390
2009-2010,Yarriambiack,Grampians Central West ,1940,656.5,645.6,0,0,2596.5,645.6,5890
2010-2011,Alpine,North East ,2452,1735,1222,0,0,4187,1222,10424
2010-2011,Ararat,Grampians Central West ,1843,942,848,0,0,2785,848,9355
2010-2011,Ballarat,Grampians Central West ,20207,11688,11207,0,0,31895,11207,73635
2010-2011,Banyule,Metropolitan ,20556,15097,13805,12684,12684,48337,26489,97057
2010-2011,Bass Coast,Gippsland ,7106,4815,3630,0,0,11921,3630,25440
2010-2011,Baw Baw,Gippsland ,7030,4244,3903.8589,4939,4939,16213,8842.8589,31671
2010-2011,Bayside,Metropolitan ,19800,14185,14185,9900,9900,43885,24085,72499
2010-2011,Benalla,North East ,3530.1001,1855.6,1670.04,0,0,5385.7001,1670.04,11330
2010-2011,Boroondara,Metropolitan ,36223,22810.8008,22810.8008,18707,18707,77740.8008,41517.8008,132144
2010-2011,Brimbank,Metropolitan ,40116,18104,15388,11904,11904,70124,27292,138779
2010-2011,Buloke,Loddon Mallee ,1508.9969,697,662.37,0,0,2205.9969,662.37,5251
2010-2011,Campaspe,Goulburn Valley ,9107,4371,3876,1196,1196,14674,5072,29703
2010-2011,Cardinia,Metropolitan ,14746,8006.8701,6629.6899,4062,4062,26814.8701,10691.6899,57139
2010-2011,Casey,Metropolitan ,50047,26327.7402,24484,35869.8203,35869.8203,112244.5605,60353.8203,198343
2010-2011,Central Goldfields,Grampians Central West ,2438,1471,1397.5,180,180,4089,1577.5,10214
